170;43
167;41
167;41
165;41
176;45
176;45
177;42
171;41
166;42
172;43
170;42
178;45
167;41
178;44
186;42
180;44
173;43
175;43
163;42
173;42
180;43
174;43
180;43
180;45
165;42
178;44
178;44
176;43
174;43
170;43
172;43
180;46
170;43
169;42
173;43
175;45
175;42
175;43
179;44
165;40
171;42
185;43
185;43
173;43
176;42
169;39
172;42
178;42
170;43
176;44
171;42
170;42
172;43
171;43
171;42
171;43
170;42
182;44
169;42
187;45
165;40
170;40
169;42
168;41
160;40
167;41
175;42
170;41
191;44
172;41
163;39
163;37
165;38
168;39
165;38
159;38
158;38
150;36
164;38
154;37
160;36
157;36
158;39
163;39
160;38
164;37
171;40
150;36
160;37
160;39
167;42
164;39
159;38
158;40
160;39
158;38
156;38
164;39
165;40
160;38
160;38
157;39
158;39
155;38
159;38
167;39
162;39
155;38
158;37
156;37
157;39
165;39
167;38
150;39
161;38
156;37
157;38
168;41
158;37
160;40
164;39
165;38
164;39
161;39
170;40
154;36
150;39
164;42
163;40
156;40
160;39
163;39
160;39
150;37
158;39
162;39
158;39
150;37
150;39
